F,Nhóm chức năng,Tên chức năng,Mô tả ngắn,Dev phụ trách,Ưu tiên,Độ khó,Trạng thái hiện tại,Ghi chú (update 1:20 sáng 10/1),Ngày kết thúc (plan),Ghi chú
1,Auth & Identity,Đăng ký tài khoản cơ bản,"Form đăng ký với email, mật khẩu, họ tên, SĐT, chọn role ban đầu.",Bảo,P1,Dễ,100%,Đã có trang SignUp và xử lý logic,,
2,Auth & Identity,Đăng nhập / Đăng xuất,"Đăng nhập bằng email/mật khẩu, nhận JWT, logout xoá token.",Bảo,P1,Dễ,100%,Đã có trang SignIn và Auth logic,,
3,Auth & Identity,Xác thực email (OTP mô phỏng),"Gửi mã xác thực tới email (mô phỏng), user nhập mã để kích hoạt tài khoản.",Bảo,P1,Trung bình,100%,Logic OTP đã có trong code,,
4,Auth & Identity,Chống spam đăng ký,CAPTCHA đơn giản + rate limit theo IP khi đăng ký tài khoản.,Bảo,P1,Trung bình,100%,ThrottlerModule đã được cấu hình,,
5,Auth & Identity,Quản lý hồ sơ cá nhân,Xem / chỉnh sửa thông tin cơ bản và avatar người dùng.,Bảo,P1,Dễ,100%,ProfilePage đã có,,
6,Auth & Identity,Trang KYC cho user,Form upload CCCD mặt trước/sau + ảnh selfie và thông tin cơ bản.,Bảo,P1,Trung bình,50%,Entity KYC có nhưng UI chưa rõ,,
7,Auth & Identity,Xử lý KYC backend,"Lưu dữ liệu KYC, set trạng thái PENDING/VERIFIED/REJECTED.",Bảo,P1,Trung bình,50%,Entity và Service có,,
8,Auth & Identity,Admin duyệt KYC,"Màn admin xem yêu cầu KYC, approve/reject kèm lý do.",Bảo,P1,Trung bình,50%,Logic admin có,,
9,Auth & Identity,User đăng ký trở thành Freelancer,"Form khai báo skill, kinh nghiệm, portfolio để bật vai trò freelancer.",Bảo,P1,Trung bình,100%,Logic có trong Profile,,
11,Auth & Identity,Admin duyệt đơn Broker,"Danh sách ứng tuyển Broker, admin approve/reject.",Bảo,P1,Trung bình,0%,,,
13,Auth & Identity,Phân quyền role & guard API,"Thiết lập RBAC, guard route theo role và quyền dự án.",Bảo,P1,Khó,100%,RolesGuard đã implement,,
14,Auth & Identity,Màn Admin quản lý user,"List/filter user, xem chi tiết, ban/unban, reset mật khẩu.",Bảo,P1,Trung bình,50%,Admin controller có,,
15,Client & Request Wizard,Wizard B1 –B5,Wizard triển khai ý tưởng cho client,Sơn,P1,Dễ,75%,Logic Wizard có nhưng chưa review UI,,
16,Client & Request Wizard,Wizard B2 – Chọn lĩnh vực,Chọn lĩnh vực Project,Sơn,P1,Dễ,75%,,,
17,Client & Request Wizard,Wizard B3 – Mô tả chi tiết,Mô tả chi tiết yêu cầu,Sơn,P1,Dễ,75%,Tạm đặt tên feature,,
18,Client & Request Wizard,Wizard B4 – Ngân sách & Thời gian,Nhập ngân sách và thời gian dự kiến,Sơn,P1,Dễ,75%,Tạm đặt tên feature,,
19,Client & Request Wizard,Wizard B5 – Review & Submit,Xem lại và gửi yêu cầu,Sơn,P1,Dễ,75%,Tạm đặt tên feature,,
20,Client & Request Wizard,Lưu draft Request,Tự động lưu/gửi draft request để client quay lại chỉnh sửa.,Sơn,P1,Trung bình,100%,ProjectRequestsService có draft logic,,
21,Client & Request Wizard,Gửi Project Request chính thức,"Gửi request, set trạng thái PENDING_BROKER, tạo log.",Sơn,P1,Trung bình,100%,,,
22,Client & Request Wizard,Danh sách Request của Client,"List + filter các request theo trạng thái, phân trang.",Sơn,P1,Trung bình,100%,Service có findAllByClient,,
23,Client & Request Wizard,Client xem Spec + Milestone,Màn xem tài liệu Spec và danh sách milestone do Broker soạn.,Sơn,P1,Trung bình,0%,Chưa thấy UI Client xem Spec,,
24,Client & Request Wizard,Client chấp nhận Spec,"Client bấm chấp nhận spec, lock version v1.0.",Sơn,P1,Trung bình,0%,Chưa thấy logic lock spec,,
25,Client & Request Wizard,Xem danh sách freelancer đề xuất,Hiển thị shortlist freelancer do module matching gợi ý.,Sơn,P1,Trung bình,100%,Service có findMatches,,
26,Client & Request Wizard,Flow mời freelancer,Client chọn 1–n freelancer từ shortlist và gửi lời mời tham gia.,An,P1,Khó,0%,Chưa thấy flow invite,,
27,Broker & Matching & Contract,Dashboard Broker,Trang tổng quan request chờ xử lý cho Broker.,An,P1,Dễ,75%,Backend có thể support,,
28,Broker & Matching & Contract,Broker nhận xử lý Request,"Flow assign Broker vào request, đổi trạng thái.",An,P1,Dễ,100%,Chưa thấy logic assign broker,,
29,Broker & Matching & Contract,Chi tiết Request cho Broker,Xem thông tin wizard đầy đủ của request.,An,P1,Dễ,100%,Dùng chung API get request,,
30,Broker & Matching & Contract,Soạn Project Spec,"Form viết overview, role hệ thống, chức năng, in-scope/out-of-scope.",An,P1,Trung bình,100%,Thiếu Spec Service/UI,,
31,Broker & Matching & Contract,Quản lý Milestone trong Spec,"Thêm/sửa/xoá milestone, cost và thời gian dự kiến.",An,P1,Trung bình,25%,Entity Milestone có,,
32,Broker & Matching & Contract,Lưu version Spec,"Lưu draft, version hóa spec (v1.0, v1.1...).",An,P1,Khó,0%,Chưa thấy logic versioning,,
33,Broker & Matching & Contract,Gửi Spec cho Client duyệt,"Gửi spec để Client review, nhận kết quả accept hoặc yêu cầu sửa.",An,P1,Khó,0%,,,
34,Broker & Matching & Contract,Cấu hình skill/tag kỹ thuật của project,Gắn skill/tech stack cho project để dùng cho matching.,An,P1,Trung bình,0%,Field techPreferences có trong Request,,
35,Broker & Matching & Contract,Duyệt & filter Freelancers,"Màn search freelancer theo skill, level, KYC.",An,P1,Trung bình,0%,Logic matching có filter,,
36,Broker & Matching & Contract,Thuật toán matching đơn giản,Tính score match dựa trên skill và Trust Score.,An,P1,Khó,0%,Đã implement trong ProjectRequestsService,,
37,Broker & Matching & Contract,Suggested Freelancers cho Project,Hiển thị danh sách freelancer được xếp hạng theo score.,An,P1,Khó,0%,API findMatches,,
38,Broker & Matching & Contract,Gửi shortlist cho Client,Broker gửi shortlist freelancer để Client xem và chọn.,An,P1,Trung bình,0%,Chưa thấy logic shortlist,,
39,Broker & Matching & Contract,Freelancer xem lời mời dự án,"Freelancer xem thông tin spec, milestone, accept/decline.",An,P1,Trung bình,0%,,,
40,Broker & Matching & Contract,Khởi tạo Contract từ Spec,"Sinh hợp đồng từ thông tin client, freelancer, broker và milestone.",An,P1,Khó,0%,Logic Contract chưa có,,
41,Broker & Matching & Contract,Chi tiết Contract,"Giao diện xem nội dung hợp đồng, milestone và trạng thái ký/escrow.",An,P1,Trung bình,0%,Entity Contract có nhưng chưa dùng,,
42,Broker & Matching & Contract,Flow Client & Freelancer ký hợp đồng,"Hai bên bấm xác nhận/ký, đổi contractStatus sang ACTIVE.",An,P1,Trung bình,0%,,,
43,Broker & Matching & Contract,Mô phỏng nạp Escrow ảo,"Client nạp tiền ảo cho từng milestone, cập nhật escrowStatus.",An,P1,Khó,0%,Chưa có logic Escrow,,
44,Project Workspace & Task,Auto khởi tạo Project & Workspace,Tự tạo project và workspace khi contract trở thành ACTIVE.,Ân,P1,Trung bình,25%,Chưa có ProjectService,,
45,Project Workspace & Task,Danh sách Project cho từng role,"List project mà user tham gia, filter theo vai trò.",Ân,P1,Trung bình,100%,,,
46,Project Workspace & Task,Dashboard Project,"Trang tổng quan tiến độ, milestone, escrow và thành viên.",Ân,P1,Trung bình,0%,,,
47,Project Workspace & Task,Client mời Staff giám sát,Flow Client chọn và mời Staff (canBeStaff=true) vào project.,Ân,P1,Trung bình,0%,,,
48,Project Workspace & Task,Staff nhận lời mời Project,Staff xem thông tin project và accept/decline.,Ân,P1,Trung bình,0%,,,
49,Project Workspace & Task,Task Board dạng Kanban,Board TODO/IN_PROGRESS/DONE cho các task trong project.,Ân,P1,Khó,100%,,,
50,Project Workspace & Task,Tạo Task,"Broker/Freelancer tạo task, gán milestone và assignee.",Ân,P1,Trung bình,100%,,,
51,Project Workspace & Task,Freelancer cập nhật trạng thái Task,"Freelancer kéo thả hoặc đổi trạng thái task, lưu lịch sử.",Ân,P1,Khó,75%,,,
52,Project Workspace & Task,Đính kèm minh chứng cho Task,Upload file/link demo làm minh chứng cho task.,Ân,P1,Khó,25%,,,
53,Project Workspace & Task,Tính % hoàn thành Milestone,Tính toán % dựa trên số task DONE trong milestone.,Ân,P1,Khó,100%,,,
54,Project Workspace & Task,Freelancer yêu cầu nghiệm thu Milestone,"Freelancer gửi request review cho milestone, set PENDING_REVIEW.",Ân,P1,Trung bình,0%,,,
55,Project Workspace & Task,Giao diện Staff review Milestone,"Staff xem task, minh chứng, comment đánh giá.",Ân,P1,Khó,0%,,,
56,Project Workspace & Task,Staff đề xuất ACCEPT/REJECT,Staff chọn đề xuất chấp nhận hoặc từ chối milestone.,Ân,P1,Trung bình,0%,,,
57,Project Workspace & Task,Client quyết định nghiệm thu,Client xem minh chứng + đề xuất Staff rồi Accept/Reject milestone.,Ân,P1,Khó,0%,,,
58,Project Workspace & Task,Xử lý backend khi Client Accept,"Khi Client Accept milestone, cập nhật trạng thái và gọi release escrow.",Ân,P1,Khó,0%,,,
59,"Rating, Trust & Dispute & Admin",Client đánh giá Freelancer/Broker/Staff,"Sau khi project hoàn thành, Client rating 1–5 sao + comment.",Bằng,P1,Trung bình,50%,ReviewModule đã có,,
60,"Rating, Trust & Dispute & Admin",Lưu & hiển thị rating trên profile,"Tính số rating, điểm trung bình và hiển thị trên profile user.",Bằng,P1,Trung bình,50%,TrustScoreModule đã có,,
61,"Rating, Trust & Dispute & Admin",Tính Trust Score cơ bản,Tính điểm uy tín dựa trên rating trung bình và số project hoàn thành.,Bằng,P1,Khó,50%,Logic tính toán đã có,,
62,"Rating, Trust & Dispute & Admin",Gán huy hiệu New / Verified / Trusted,Gán badge dựa trên Trust Score và trạng thái KYC.,Bằng,P1,Trung bình,0%,Logic badge chưa rõ,,
63,"Rating, Trust & Dispute & Admin",Hiển thị Trust Score & thống kê tranh chấp,"Hiển thị Trust Score, số project, số tranh chấp trên profile.",Bằng,P1,Trung bình,50%,,,
64,"Rating, Trust & Dispute & Admin",Flow tạo Dispute,"Client hoặc Freelancer mở tranh chấp cho một milestone, nhập lý do + minh chứng.",Bằng,P1,Trung bình,0%,Chưa thấy Dispute Service,,
65,"Rating, Trust & Dispute & Admin",Chi tiết Dispute cho các bên,"Xem timeline trao đổi, minh chứng, trạng thái dispute.",Bằng,P1,Khó,0%,,,
66,"Rating, Trust & Dispute & Admin",Admin list Dispute,"Admin xem danh sách dispute, filter theo trạng thái, user, project.",Bằng,P1,Trung bình,0%,,,
67,"Rating, Trust & Dispute & Admin",Admin xử lý Dispute,"Admin xem spec, contract, log, minh chứng và chọn kết luận bên nào sai.",Bằng,P1,Khó,0%,,,
68,"Rating, Trust & Dispute & Admin",Áp dụng kết quả Dispute lên Escrow,Cập nhật phân bổ escrow ảo theo quyết định của Admin.,Bằng,P1,Khó,0%,,,
69,"Rating, Trust & Dispute & Admin",Update Trust Score sau khi kết thúc Dispute,Điều chỉnh Trust Score cho bên thua tranh chấp.,Bằng,P1,Khó,0%,,,
70,"Rating, Trust & Dispute & Admin",Audit Log backend,"Middleware ghi lại các hành động quan trọng (ai, làm gì, lúc nào, đối tượng).",Bằng,P1,Khó,100%,AuditLogsModule đã implement,,
71,"Rating, Trust & Dispute & Admin",Màn Admin xem Audit Log,"Admin xem log, filter theo user, project, thời gian.",Bằng,P1,Khó,50%,Controller đã có,,
72,Communication,Hệ thống thông báo Real-time,Socket.io/WebSocket server để push notification.,Ân,P2,Khó,0%,,,
73,Communication,Email template service,Service gửi email (SendGrid/Nodemailer) cho các sự kiện.,Ân,P2,Trung bình,0%,,,
74,Communication,Thông báo qua Telegram cho Admin,Bot gửi tin nhắn cảnh báo hoặc thống kê nhanh cho Admin.,Ân,P3,Dễ,0%,,,
75,Communication,Chức năng Chat 1-1,Chat text giữa Client và Freelancer khi có Project.,Bảo,P2,Khó,0%,,,
76,Communication,Chức năng Chat nhóm Project,Group chat cho tất cả thành viên trong Project.,Bảo,P3,Khó,0%,,,
77,Communication,Gửi file trong Chat,Upload và gửi file đính kèm trong khung chat.,Sơn,P3,Trung bình,0%,,,
78,Communication,Trạng thái Online/Offline,Hiển thị chấm xanh trạng thái user đang online.,Ân,P3,Dễ,0%,,,
79,Support & Help,Trang FAQ CMS,Admin quản lý các câu hỏi thường gặp.,Bằng,P3,Dễ,0%,,,
80,Support & Help,Ticket hỗ trợ User,Form người dùng gửi yêu cầu hỗ trợ lỗi.,Bằng,P3,Trung bình,0%,,,
81,Backend,API Apply/Invite,Logic cho Broker apply và Client mời Broker.,Sơn,P1,Trung bình,0%,,,
82,Frontend,UI Recruitment Tab,Màn hình list applicants và nút Invite cho Client.,Sơn,P1,Trung bình,100%,,,
83,Notification,Notify Flow,Gửi alert cho Broker khi được mời.,Ân,P2,Trung bình,0%,,,
84,Request Lifecycle,Chuyển đổi Public/Private Request,Logic chuyển trạng thái giữa Public/Private Draft. Nếu chuyển sang Private thì tự động Deny các Broker đã apply trước đó.,Sơn,P1,Trung bình,0%,,,
85,Request Lifecycle,Broker Application Flow,"Broker gửi ""Apllycation"" để nhận xử lý Public Request. Client xem danh sách và CV Broker.",An,P1,Trung bình,0%,,,
86,Broker Workspace,Workspace thảo luận Spec (BA & Client),"Mở Chatbox riêng giữa Client & Broker để ""yap"" về yêu cầu kỹ thuật.",Sơn,P1,Khó,0%,,,
87,Broker Workspace,Công cụ soạn thảo Spec trực tuyến,"Form cho BA soạn Spec chi tiết (Overview, Roles, In-Scope/Out-Scope) trực tiếp trong Request.",An,P1,Trung bình,0%,,,
88,Broker Workspace,Nút Report Broker,Client có quyền Report nếu BA sủi hoặc trễ deadline soạn Spec.,Sơn,P1,Dễ,0%,,,
89,AI Integration,Tích hợp Gemini 1.5 Flash API,"Kết nối API, xây dựng Prompt phân tích ngữ nghĩa giữa Spec (BA soạn) và Profile Freelancer.",Sơn,P1,Khó,0%,,,
90,Matching Engine,Logic Pipeline 3 Lớp,Implement: Layer 1 (Hard Filter) -> Layer 2 (AI Score) -> Layer 3 (Weighted Final Score).,Sơn,P1,Khó,0%,,,
91,Matching Engine,Labeling System (Phân loại thẻ),"Logic tự động gán nhãn PERFECT MATCH (Xanh), POTENTIAL (Vàng), HIGH RISK (Đỏ) dựa trên Final Score và Trust Score.",Sơn,P1,Trung bình,0%,,,
92,Hiring Flow,Cơ chế mời 2 chiều (Invite/Apply),Cho phép Freelancer xem Spec (đã chốt) để Apply; BA & Client xem danh sách Matching để Invite.,Sơn,P1,Khó,0%,,,
93,Hiring Flow,Dashboard quản lý ứng viên,"Màn hình list các Freelancer đang thương lượng, hiển thị nhãn phân loại AI để BA/Client dễ chọn.",Sơn,P1,Trung bình,0%,,,
94,Client & Request Wizard,Dashboard Client,,Sơn,P1,Dễ,100%,,,
95,Freelancer UI,Dashboard Freelancer,,Bằng,,,0%,,,
96,,,,,,,,,,