ID,Nhóm chức năng,Tên chức năng,Mô tả ngắn,Dev phụ trách,Ưu tiên,Độ khó,Trạng thái,Ngày bắt đầu (plan),Ngày kết thúc (plan),Ghi chú
A01,Auth & Identity,Đăng ký tài khoản cơ bản,"Form đăng ký với email, mật khẩu, họ tên, SĐT, chọn role ban đầu.",Dev A,P1,Dễ,,,,
A02,Auth & Identity,Đăng nhập / Đăng xuất,"Đăng nhập bằng email/mật khẩu, nhận JWT, logout xoá token.",Dev A,P1,Dễ,,,,
A03,Auth & Identity,Xác thực email (OTP mô phỏng),"Gửi mã xác thực tới email (mô phỏng), user nhập mã để kích hoạt tài khoản.",Dev A,P1,Trung bình,,,,
A04,Auth & Identity,Chống spam đăng ký,CAPTCHA đơn giản + rate limit theo IP khi đăng ký tài khoản.,Dev A,P1,Trung bình,,,,
A05,Auth & Identity,Quản lý hồ sơ cá nhân,Xem / chỉnh sửa thông tin cơ bản và avatar người dùng.,Dev A,P1,Dễ,,,,
A07,Auth & Identity,Trang KYC cho user,Form upload CCCD mặt trước/sau + ảnh selfie và thông tin cơ bản.,Dev A,P1,Trung bình,,,,
A08,Auth & Identity,Xử lý KYC backend,"Lưu dữ liệu KYC, set trạng thái PENDING/VERIFIED/REJECTED.",Dev A,P1,Trung bình,,,,
A09,Auth & Identity,Admin duyệt KYC,"Màn admin xem yêu cầu KYC, approve/reject kèm lý do.",Dev A,P1,Trung bình,,,,
A10,Auth & Identity,User đăng ký trở thành Freelancer,"Form khai báo skill, kinh nghiệm, portfolio để bật vai trò freelancer.",Dev A,P1,Trung bình,,,,
A11,Auth & Identity,User ứng tuyển vai trò Broker,"Form ứng tuyển Broker: kinh nghiệm BA/PM, link CV/LinkedIn.",Dev A,P1,Trung bình,,,,
A12,Auth & Identity,Admin duyệt đơn Broker,"Danh sách ứng tuyển Broker, admin approve/reject.",Dev A,P1,Trung bình,,,,
A13,Auth & Identity,Admin đánh dấu canBeStaff,Admin tick user đủ điều kiện có thể trở thành Staff giám sát.,Dev A,P1,Trung bình,,,,
A14,Auth & Identity,Phân quyền role & guard API,"Thiết lập RBAC, guard route theo role và quyền dự án.",Dev A,P1,Khó,,,,
A15,Auth & Identity,Màn Admin quản lý user,"List/filter user, xem chi tiết, ban/unban, reset mật khẩu.",Dev A,P1,Trung bình,,,,
B02,Client & Request Wizard,Wizard B1 – Chọn loại sản phẩm,"Bước chọn loại sản phẩm: website, landing, app, hệ thống quản lý...",Dev B,P1,Dễ,,,,
B03,Client & Request Wizard,Wizard B2 – Chọn lĩnh vực,"Bước chọn ngành: F&B, thời trang, giáo dục, dịch vụ...",Dev B,P1,Dễ,,,,
B04,Client & Request Wizard,Wizard B3 – Ngân sách & thời gian,Nhập ngân sách ước tính và deadline mong muốn.,Dev B,P1,Trung bình,,,,
B05,Client & Request Wizard,Wizard B4 – Chọn chức năng,"Checkbox chọn các chức năng mong muốn như đăng nhập, giỏ hàng, báo cáo...",Dev B,P1,Trung bình,,,,
B06,Client & Request Wizard,Wizard B5 – Mô tả ý tưởng,Client mô tả ý tưởng + upload tài liệu tham khảo.,Dev B,P1,Trung bình,,,,
B07,Client & Request Wizard,Lưu draft Request,Tự động lưu/gửi draft request để client quay lại chỉnh sửa.,Dev B,P1,Trung bình,,,,
B08,Client & Request Wizard,Gửi Project Request chính thức,"Gửi request, set trạng thái PENDING_BROKER, tạo log.",Dev B,P1,Trung bình,,,,
B09,Client & Request Wizard,Danh sách Request của Client,"List + filter các request theo trạng thái, phân trang.",Dev B,P1,Trung bình,,,,
B12,Client & Request Wizard,Client xem Spec + Milestone,Màn xem tài liệu Spec và danh sách milestone do Broker soạn.,Dev B,P1,Trung bình,,,,
B14,Client & Request Wizard,Client chấp nhận Spec,"Client bấm chấp nhận spec, lock version v1.0.",Dev B,P1,Trung bình,,,,
B15,Client & Request Wizard,Xem danh sách freelancer đề xuất,Hiển thị shortlist freelancer do module matching gợi ý.,Dev B,P1,Trung bình,,,,
B16,Client & Request Wizard,Flow mời freelancer,Client chọn 1–n freelancer từ shortlist và gửi lời mời tham gia.,Dev B,P1,Khó,,,,
C01,Broker & Matching & Contract,Dashboard Broker,Trang tổng quan request chờ xử lý cho Broker.,Dev C,P1,Dễ,,,,
C02,Broker & Matching & Contract,Broker nhận xử lý Request,"Flow assign Broker vào request, đổi trạng thái.",Dev C,P1,Dễ,,,,
C03,Broker & Matching & Contract,Chi tiết Request cho Broker,Xem thông tin wizard đầy đủ của request.,Dev C,P1,Dễ,,,,
C05,Broker & Matching & Contract,Soạn Project Spec,"Form viết overview, role hệ thống, chức năng, in-scope/out-of-scope.",Dev C,P1,Trung bình,,,,
C06,Broker & Matching & Contract,Quản lý Milestone trong Spec,"Thêm/sửa/xoá milestone, cost và thời gian dự kiến.",Dev C,P1,Trung bình,,,,
C07,Broker & Matching & Contract,Lưu version Spec,"Lưu draft, version hóa spec (v1.0, v1.1...).",Dev C,P1,Khó,,,,
C08,Broker & Matching & Contract,Gửi Spec cho Client duyệt,"Gửi spec để Client review, nhận kết quả accept hoặc yêu cầu sửa.",Dev C,P1,Khó,,,,
C09,Broker & Matching & Contract,Cấu hình skill/tag kỹ thuật của project,Gắn skill/tech stack cho project để dùng cho matching.,Dev C,P1,Trung bình,,,,
C10,Broker & Matching & Contract,Duyệt & filter Freelancers,"Màn search freelancer theo skill, level, KYC.",Dev C,P1,Trung bình,,,,
C11,Broker & Matching & Contract,Thuật toán matching đơn giản,Tính score match dựa trên skill và Trust Score.,Dev C,P1,Khó,,,,
C12,Broker & Matching & Contract,Suggested Freelancers cho Project,Hiển thị danh sách freelancer được xếp hạng theo score.,Dev C,P1,Khó,,,,
C13,Broker & Matching & Contract,Gửi shortlist cho Client,Broker gửi shortlist freelancer để Client xem và chọn.,Dev C,P1,Trung bình,,,,
C14,Broker & Matching & Contract,Freelancer xem lời mời dự án,"Freelancer xem thông tin spec, milestone, accept/decline.",Dev C,P1,Trung bình,,,,
C15,Broker & Matching & Contract,Khởi tạo Contract từ Spec,"Sinh hợp đồng từ thông tin client, freelancer, broker và milestone.",Dev C,P1,Khó,,,,
C16,Broker & Matching & Contract,Chi tiết Contract,"Giao diện xem nội dung hợp đồng, milestone và trạng thái ký/escrow.",Dev C,P1,Trung bình,,,,
C17,Broker & Matching & Contract,Flow Client & Freelancer ký hợp đồng,"Hai bên bấm xác nhận/ký, đổi contractStatus sang ACTIVE.",Dev C,P1,Trung bình,,,,
C18,Broker & Matching & Contract,Mô phỏng nạp Escrow ảo,"Client nạp tiền ảo cho từng milestone, cập nhật escrowStatus.",Dev C,P1,Khó,,,,
D01,Project Workspace & Task,Auto khởi tạo Project & Workspace,Tự tạo project và workspace khi contract trở thành ACTIVE.,Dev D,P1,Trung bình,,,,
D02,Project Workspace & Task,Danh sách Project cho từng role,"List project mà user tham gia, filter theo vai trò.",Dev D,P1,Trung bình,,,,
D03,Project Workspace & Task,Dashboard Project,"Trang tổng quan tiến độ, milestone, escrow và thành viên.",Dev D,P1,Trung bình,,,,
D05,Project Workspace & Task,Client mời Staff giám sát,Flow Client chọn và mời Staff (canBeStaff=true) vào project.,Dev D,P1,Trung bình,,,,
D06,Project Workspace & Task,Staff nhận lời mời Project,Staff xem thông tin project và accept/decline.,Dev D,P1,Trung bình,,,,
D07,Project Workspace & Task,Task Board dạng Kanban,Board TODO/IN_PROGRESS/DONE cho các task trong project.,Dev D,P1,Khó,,,,
D08,Project Workspace & Task,Tạo Task,"Broker/Freelancer tạo task, gán milestone và assignee.",Dev D,P1,Trung bình,,,,
D09,Project Workspace & Task,Freelancer cập nhật trạng thái Task,"Freelancer kéo thả hoặc đổi trạng thái task, lưu lịch sử.",Dev D,P1,Khó,,,,
D10,Project Workspace & Task,Đính kèm minh chứng cho Task,Upload file/link demo làm minh chứng cho task.,Dev D,P1,Khó,,,,
D11,Project Workspace & Task,Tính % hoàn thành Milestone,Tính toán % dựa trên số task DONE trong milestone.,Dev D,P1,Khó,,,,
D12,Project Workspace & Task,Freelancer yêu cầu nghiệm thu Milestone,"Freelancer gửi request review cho milestone, set PENDING_REVIEW.",Dev D,P1,Trung bình,,,,
D14,Project Workspace & Task,Giao diện Staff review Milestone,"Staff xem task, minh chứng, comment đánh giá.",Dev D,P1,Khó,,,,
D15,Project Workspace & Task,Staff đề xuất ACCEPT/REJECT,Staff chọn đề xuất chấp nhận hoặc từ chối milestone.,Dev D,P1,Trung bình,,,,
D16,Project Workspace & Task,Client quyết định nghiệm thu,Client xem minh chứng + đề xuất Staff rồi Accept/Reject milestone.,Dev D,P1,Khó,,,,
D17,Project Workspace & Task,Xử lý backend khi Client Accept,"Khi Client Accept milestone, cập nhật trạng thái và gọi release escrow.",Dev D,P1,Khó,,,,
E01,"Rating, Trust & Dispute & Admin",Client đánh giá Freelancer/Broker/Staff,"Sau khi project hoàn thành, Client rating 1–5 sao + comment.",Dev E,P1,Trung bình,,,,
E03,"Rating, Trust & Dispute & Admin",Lưu & hiển thị rating trên profile,"Tính số rating, điểm trung bình và hiển thị trên profile user.",Dev E,P1,Trung bình,,,,
E04,"Rating, Trust & Dispute & Admin",Tính Trust Score cơ bản,Tính điểm uy tín dựa trên rating trung bình và số project hoàn thành.,Dev E,P1,Khó,,,,
E05,"Rating, Trust & Dispute & Admin",Gán huy hiệu New / Verified / Trusted,Gán badge dựa trên Trust Score và trạng thái KYC.,Dev E,P1,Trung bình,,,,
E06,"Rating, Trust & Dispute & Admin",Hiển thị Trust Score & thống kê tranh chấp,"Hiển thị Trust Score, số project, số tranh chấp trên profile.",Dev E,P1,Trung bình,,,,
E08,"Rating, Trust & Dispute & Admin",Flow tạo Dispute,"Client hoặc Freelancer mở tranh chấp cho một milestone, nhập lý do + minh chứng.",Dev E,P1,Trung bình,,,,
E09,"Rating, Trust & Dispute & Admin",Chi tiết Dispute cho các bên,"Xem timeline trao đổi, minh chứng, trạng thái dispute.",Dev E,P1,Khó,,,,
E10,"Rating, Trust & Dispute & Admin",Admin list Dispute,"Admin xem danh sách dispute, filter theo trạng thái, user, project.",Dev E,P1,Trung bình,,,,
E11,"Rating, Trust & Dispute & Admin",Admin xử lý Dispute,"Admin xem spec, contract, log, minh chứng và chọn kết luận bên nào sai.",Dev E,P1,Khó,,,,
E12,"Rating, Trust & Dispute & Admin",Áp dụng kết quả Dispute lên Escrow,Cập nhật phân bổ escrow ảo theo quyết định của Admin.,Dev E,P1,Khó,,,,
E13,"Rating, Trust & Dispute & Admin",Update Trust Score sau khi kết thúc Dispute,Điều chỉnh Trust Score cho bên thua tranh chấp.,Dev E,P1,Khó,,,,
E14,"Rating, Trust & Dispute & Admin",Audit Log backend,"Middleware ghi lại các hành động quan trọng (ai, làm gì, lúc nào, đối tượng).",Dev E,P1,Khó,,,,
E15,"Rating, Trust & Dispute & Admin",Màn Admin xem Audit Log,"Admin xem log, filter theo user, project, thời gian.",Dev E,P1,Khó,,,,
A06,Auth & Identity,Đổi mật khẩu & Quên mật khẩu,Flow đổi mật khẩu khi đang đăng nhập và quên mật khẩu qua OTP/link mô phỏng.,Dev A,P2,Trung bình,,,,
B01,Client & Request Wizard,Dashboard Client,Trang chính cho Client: tổng quan request và project.,Dev B,P2,Dễ,,,,
B10,Client & Request Wizard,Chi tiết 1 Request,Xem đầy đủ thông tin wizard và lịch sử trạng thái của request.,Dev B,P2,Trung bình,,,,
B11,Client & Request Wizard,Client hủy Request,Cho phép Client hủy request chưa được Broker nhận/duyệt.,Dev B,P2,Trung bình,,,,
B13,Client & Request Wizard,Client yêu cầu chỉnh sửa Spec,"Client gửi comment/đề xuất chỉnh sửa spec, track revision.",Dev B,P2,Khó,,,,
B17,Client & Request Wizard,Trang Dự án của tôi,"List các project, trạng thái milestone, link sang workspace.",Dev B,P2,Khó,,,,
C04,Broker & Matching & Contract,Comment Broker–Client trong Request,Thread comment/mini chat giữa Broker và Client trên request.,Dev C,P2,Trung bình,,,,
C19,Broker & Matching & Contract,Tổng quan Contract & Escrow,Trang tổng hợp trạng thái funded/released của tất cả milestone.,Dev C,P2,Khó,,,,
D04,Project Workspace & Task,Quản lý thành viên Project,Xem danh sách thành viên và vai trò trong project.,Dev D,P2,Trung bình,,,,
D13,Project Workspace & Task,Thông báo yêu cầu nghiệm thu,Thông báo cho Client và Staff khi có yêu cầu nghiệm thu milestone.,Dev D,P2,Khó,,,,
D18,Project Workspace & Task,Activity log trong Project,"Timeline các hành động: tạo task, đổi trạng thái, request nghiệm thu...",Dev D,P2,Khó,,,,
D20,Project Workspace & Task,Tùy biến view theo role trong workspace,Ẩn/hiện một số chức năng theo role (Client/Staff/Freelancer/Broker).,Dev D,P2,Khó,,,,
E02,"Rating, Trust & Dispute & Admin",Freelancer đánh giá Client,Freelancer rating Client (optional).,Dev E,P2,Trung bình,,,,
E07,"Rating, Trust & Dispute & Admin",Cảnh báo user nhiều tranh chấp thua,Đánh dấu cảnh báo với user có nhiều dispute bị kết luận sai.,Dev E,P2,Trung bình,,,,
E16,"Rating, Trust & Dispute & Admin",Admin dashboard tổng quan,"Dashboard thống kê tổng: số user, project active, dispute, rating trung bình.",Dev E,P2,Trung bình,,,,
E18,"Rating, Trust & Dispute & Admin",Cảnh báo spam/abuse,Phát hiện user có nhiều request bị reject hoặc nhiều account cùng IP.,Dev E,P2,Khó,,,,
E19,"Rating, Trust & Dispute & Admin",Trang cấu hình tham số Trust Score,"Admin chỉnh hệ số trọng số cho rating, dispute, số project.",Dev E,P2,Trung bình,,,,
A16,Auth & Identity,Log lịch sử đăng nhập,"Lưu lại IP, thời gian, trạng thái mỗi lần đăng nhập; user xem được lịch sử.",Dev A,P3,Trung bình,,,,
A17,Auth & Identity,Cảnh báo bảo mật khi login fail nhiều,Tự khóa tạm tài khoản hoặc hiển thị cảnh báo khi sai mật khẩu liên tục.,Dev A,P3,Khó,,,,
A18,Auth & Identity,2FA mô phỏng,"Bật/tắt 2FA, yêu cầu nhập OTP lần 2 khi đăng nhập.",Dev A,P3,Khó,,,,
A19,Auth & Identity,Trang Security Center cá nhân,"Quản lý phiên đăng nhập, logout all devices, cài đặt bảo mật.",Dev A,P3,Khó,,,,
A20,Auth & Identity,Chính sách mật khẩu & 2FA,"Cấu hình độ mạnh mật khẩu, bắt buộc 2FA cho một số vai trò.",Dev A,P3,Khó,,,,
B18,Client & Request Wizard,Notification center cho Client,"Trung tâm thông báo: spec cập nhật, invite freelancer, yêu cầu nghiệm thu...",Dev B,P3,Khó,,,,
B19,Client & Request Wizard,Template wizard theo ngành,Auto gợi ý chức năng phổ biến theo từng lĩnh vực.,Dev B,P3,Khó,,,,
B20,Client & Request Wizard,AI gợi ý mô tả requirement,Sử dụng AI để mở rộng mô tả từ vài câu của Client.,Dev B,P3,Khó,,,,
C20,Broker & Matching & Contract,Cập nhật Spec sau khi contract active,"Tạo version spec mới sau hợp đồng, log impact lên milestone sau.",Dev C,P3,Khó,,,,
D19,Project Workspace & Task,Tích hợp chat Project,Tích hợp widget chat hoặc comment real-time cơ bản cho project.,Dev D,P3,Khó,,,,
E17,"Rating, Trust & Dispute & Admin",Báo cáo thống kê nâng cao,"Biểu đồ tỷ lệ dispute, phân bố rating theo thời gian.",Dev E,P3,Khó,,,,
E20,"Rating, Trust & Dispute & Admin",Gợi ý danh sách user cần review,Heuristic ranking user rủi ro cao để admin kiểm tra.,Dev E,P3,Khó,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
